year,Honiara,Panama City,Rabat,Chișinău,Maputo,Mogadishu,Muscat,Colombo,Ulaanbaatar,Windhoek,Abuja,Bissau,Amman,Vilnius,Riga,Bishkek,Maseru,Antananarivo,Quito,San José
2002,37.0460144,41.48001,39.76001,44.7040114,45.9950095,48.371006550000004,48.42550195,50.4750139,44.905013749999995,52.26950365,44.9230132,41.520506149999996,48.05001,33.432006599999994,34.8350075,44.5835097,43.76300985,45.23751075,44.6000124,44.470001499999995
2003,39.9180097,51.430004999999994,41.320007,42.50551,48.014013799999994,51.009504500000006,52.410011,48.990508649999995,38.5489886,51.6130121,49.0760012,51.3280028,48.59850675,29.725011999999992,36.4815113,40.410004,46.65949554999999,47.132507,43.7210106,48.182496
2004,40.5,47.8960084,42.01001,42.4760012,48.0690077,50.3840148,52.78049285,49.242001099999996,42.118005399999994,49.132515,44.8030092,50.8400148,48.92050275,28.34250625,33.057506999999994,43.1760072,46.98398925,45.420013,44.12800299999999,48.95650025
2005,39.10101269999999,49.656005799999996,41.2620048,42.78299905,47.3980044,50.9450065,52.598513450000006,49.410004,42.010009,51.0669987,46.6665024,51.395004,47.880005,29.657986299999997,33.8179872,44.13450475,43.121991349999995,46.222010399999995,43.98001,50.23749965
2006,39.930004999999994,51.34150115,41.14451,42.42451285,45.4380031,50.2880064,51.8390029,51.050002799999994,40.372009399999996,47.267506699999984,48.3135127,51.58299965,48.110016,32.6300125,37.704009,43.2160096,42.36450724999999,45.8019956,43.5490002,48.4000034
2007,37.158001999999996,50.152004399999996,42.190002,46.9875009,48.3749879,49.0619998,47.144999299999995,50.21750625,45.27799699999998,52.3024985,46.86000899999999,50.7535035,48.9680108,31.389984,35.3290074,44.445008249999994,46.746007399999996,45.773506749999996,43.827510000000004,49.10600425
2008,37.8240079,49.1900118,41.82500225,44.12000825,46.37300299999999,50.2090118,51.2125085,51.101505949999996,42.65200759999999,48.370007599999994,45.9510056,49.45250455,49.0820097,30.176511949999995,34.2789946,45.8219883,44.770995199999994,45.838006299999996,41.52000699999999,48.55150724999999
2009,36.4460144,49.28550315,42.2140016,45.11450724999999,46.63251509999999,48.39800145,53.5025035,49.532006599999995,38.8750075,50.299009500000004,47.39800445,50.4680112,48.972496,28.463009649999996,35.036007899999994,42.4230132,43.975005749999994,46.7520042,46.4245109,51.0
2010,37.5155151,49.8040048,41.8800106,45.063000699999996,46.80900849999999,49.3074903,46.584001799999996,52.6555082,42.41501,48.74600939999999,44.1650085,49.5580072,49.2930098,33.11451235,38.21650195,42.792503249999996,42.38501,46.35401,44.81948835,49.260009499999995
2011,37.79001,49.240006,41.190002,42.6700046,47.4600065,50.9020144,45.55801399999998,52.265997049999996,38.9955,46.80950455,48.62751,52.185016000000005,48.2620115,30.310009999999984,35.320007,43.308001999999995,44.878009599999984,46.4830109,41.5675045,47.660008999999995
2012,42.2550142,47.34849735,40.6069948,47.332513,47.455000999999996,49.556009,47.23001,51.0300142,35.96650189999999,48.682006699999995,47.5410063,51.1899996,49.849991,30.524011199999997,33.97250885,43.75401,44.95001225,46.71200559999999,44.170013,48.008004899999996
2013,38.04400699999999,49.33899665,42.66750714999999,43.401012849999994,47.1864882,47.6660066,43.897009499999996,50.6055035,39.51700849999999,48.647003600000005,43.3570091,50.4700136,48.375998599999996,31.029999,36.4875009,43.252007799999994,46.59550655,46.0235094,44.0990095,47.070012999999996
2014,40.9060074,48.029998500000005,41.815498749999996,43.0549992,47.03299905,50.0600096,48.7300115,50.7960018,38.8725045,48.735009250000004,48.71800599999999,51.300991799999984,48.303001,33.748004800000004,38.4379852,44.4550015,44.1315078,47.07001059999999,42.9520016,49.21201285
2015,39.6380124,51.1955109,41.70900224999999,45.5459995,46.213508499999996,50.9350055,52.12550895,49.8919864,42.7995022,49.81800539999999,44.5300018,49.008510449999996,48.6020022,33.130005,35.345515549999995,46.1940062,48.332487900000004,45.098509400000005,45.0365027,50.723009399999995
2016,41.518012649999996,51.3135043,40.96800519999999,41.83601000000001,50.0200106,51.017509249999996,51.21248969999998,51.1400082,35.310510099999995,50.0520139,46.566,52.3250034,48.6489927,30.655006,33.72700439999999,41.81700745,46.3150035,46.605487,46.05901149999999,48.78250825
2017,43.935005249999996,48.157512999999994,41.1910124,43.972510899999996,48.602002,52.2485007,51.2275,49.350006,42.4624989,49.15301509999999,49.55201419999999,50.0165022,49.5850065,27.407509,32.638012399999994,45.598009999999995,45.1375048,46.90301169999999,41.595012999999994,49.360016
2018,37.08599565,50.2785072,41.7529999,44.53048895,45.520005,50.80250409999999,51.4340016,50.8110044,39.72600599999999,51.7900133,43.249992750000004,51.339995,48.89849415,31.51001,38.442004399999995,45.605011000000005,49.5150075,44.4740112,43.759994500000005,51.2325055
